run_id,project,config,workflow,stage,energy_joules,duration_seconds,timestamp,python_version
32651104140,httpie,C4,P01 HTTPie C4 Combined,checkout,6.68131,1.5,,3.12
32651104140,httpie,C4,P01 HTTPie C4 Combined,dependency-installation,79.901,19.31,,3.12
32651104140,httpie,C4,P01 HTTPie C4 Combined,test-execution,352.553,98.64,,3.12
32651104140,httpie,C4,P01 HTTPie C4 Combined,checkout,5.75123,1.3,,
32651104140,httpie,C4,P01 HTTPie C4 Combined,dependency-installation,49.976,12.25,,
32651104140,httpie,C4,P01 HTTPie C4 Combined,lint,68.8343,16.95,,
32651097121,httpie,C2,P01 HTTPie C2 Tests,checkout,3.82685,1.09,,3.11
32651097121,httpie,C2,P01 HTTPie C2 Tests,dependency-installation,74.7274,18.36,,3.11
32651097121,httpie,C2,P01 HTTPie C2 Tests,test-execution,343.991,96.58,,3.11
32651097121,httpie,C2,P01 HTTPie C2 Tests,checkout,7.96337,1.72,,3.10
32651097121,httpie,C2,P01 HTTPie C2 Tests,dependency-installation,82.1108,19.94,,3.10
32651097121,httpie,C2,P01 HTTPie C2 Tests,test-execution,341.883,90.89,,3.10
32651097121,httpie,C2,P01 HTTPie C2 Tests,dependency-installation,89.1188,21.1,,3.12
32651097121,httpie,C2,P01 HTTPie C2 Tests,test-execution,336.669,94.66,,3.12
32651097479,httpie,C1,P01 HTTPie C1 Coverage,checkout,4.35172,1.43,,
32651097479,httpie,C1,P01 HTTPie C1 Coverage,dependency-installation,113.439,28.74,,
32651097479,httpie,C1,P01 HTTPie C1 Coverage,coverage,377.766,104.93,,
32651097479,httpie,C1,P01 HTTPie C1 Coverage,dist-test,81.6926,20.3,,
32651092569,httpie,C1,P01 HTTPie C1 Tests,checkout,5.30895,1.17,,3.11
32651092569,httpie,C1,P01 HTTPie C1 Tests,dependency-installation,103.805,25.87,,3.11
32651092569,httpie,C1,P01 HTTPie C1 Tests,test-execution,330.075,93.34,,3.11
32651092569,httpie,C1,P01 HTTPie C1 Tests,checkout,6.12363,1.42,,3.12
32651092569,httpie,C1,P01 HTTPie C1 Tests,dependency-installation,147.243,34.57,,3.12
32651092569,httpie,C1,P01 HTTPie C1 Tests,test-execution,310.167,83.26,,3.12
32651092569,httpie,C1,P01 HTTPie C1 Tests,checkout,4.81585,1.09,,3.10
32651092569,httpie,C1,P01 HTTPie C1 Tests,dependency-installation,125.855,28.4,,3.10
32651092569,httpie,C1,P01 HTTPie C1 Tests,test-execution,309.011,82.76,,3.10
32651090630,httpie,C1,P01 HTTPie C1 Code Style,dependency-installation,55.7097,12.99,,
32651090630,httpie,C1,P01 HTTPie C1 Code Style,lint,74.9282,18.22,,
32651015606,httpie,C2,P01 HTTPie C2 Code Style,dependency-installation,57.3994,13.5,,
32651015606,httpie,C2,P01 HTTPie C2 Code Style,lint,70.1977,16.86,,
32651015273,httpie,C2,P01 HTTPie C2 Coverage,dependency-installation,84.1725,20.16,,
32651015273,httpie,C2,P01 HTTPie C2 Coverage,coverage,364.29,100.65,,
32651015273,httpie,C2,P01 HTTPie C2 Coverage,dist-test,77.3516,18.93,,
32650874940,gson,C4,P05 Gson C4 Combined,checkout,7.56538,1.6,,
32650874940,gson,C4,P05 Gson C4 Combined,test-execution,232.836,36.36,,
32650872591,gson,C3,P05 Gson C3 Consolidated,test-execution,218.224,37.9,,
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,checkout,7.00816,1.51,,
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,dependency-installation,96.9692,23.49,,
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,coverage,367.182,101.79,,
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,dist-test,79.2843,19.42,,
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,checkout,5.89461,1.39,,3.11
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,dependency-installation,113.428,27.62,,3.11
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,test-execution,327.0,92.79,,3.11
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,checkout,5.57926,1.52,,3.10
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,dependency-installation,98.8456,24.5,,3.10
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,test-execution,347.954,98.09,,3.10
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,checkout,5.66283,1.29,,3.12
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,dependency-installation,87.9872,21.27,,3.12
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,test-execution,348.199,97.25,,3.12
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,checkout,9.31745,2.01,,
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,dependency-installation,52.8149,12.45,,
32650872936,httpie,C3,P01 HTTPie C3 Consolidated,lint,77.639,18.88,,
32650870900,gson,C2,P05 Gson C2 Tests,checkout,6.44521,1.39,,
32650870900,gson,C2,P05 Gson C2 Tests,test-execution,223.156,34.72,,
32650869909,gson,C1,P05 Gson C1 Tests,checkout,3.68872,1.04,,
32650869909,gson,C1,P05 Gson C1 Tests,test-execution,236.052,48.67,,
32650868629,resty,C4,P04 resty C4 Combined,checkout,6.36587,1.44,,
32650868629,resty,C4,P04 resty C4 Combined,dependency-installation,45.9436,11.43,,
32650868629,resty,C4,P04 resty C4 Combined,test-execution,182.308,80.08,,
32650867387,resty,C3,P04 resty C3 Consolidated,checkout,14.4493,2.81,,
32650867387,resty,C3,P04 resty C3 Consolidated,dependency-installation,38.8637,9.91,,
32650867387,resty,C3,P04 resty C3 Consolidated,test-execution,185.653,80.27,,
32650867333,resty,C2,P04 resty C2 Tests,checkout,5.54275,1.36,,
32650867333,resty,C2,P04 resty C2 Tests,dependency-installation,48.6007,11.49,,
32650867333,resty,C2,P04 resty C2 Tests,test-execution,240.018,80.86,,
32650865144,resty,C1,P04 resty C1 Tests,checkout,11.0578,2.46,,
32650865144,resty,C1,P04 resty C1 Tests,dependency-installation,46.9692,11.55,,
32650865144,resty,C1,P04 resty C1 Tests,test-execution,186.54,79.23,,
32650863758,retrofit,C4,P03 Retrofit C4 Combined,checkout,5.95979,1.37,,
32650863758,retrofit,C4,P03 Retrofit C4 Combined,test-execution,343.085,68.25,,
32650863627,retrofit,C3,P03 Retrofit C3 Consolidated,test-execution,519.845,92.44,,
32650861865,retrofit,C2,P03 Retrofit C2 Tests,checkout,5.76679,1.31,,
